gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0W1, d0W0.606531, d0W0.860708, d0W1, d0W0.860708, d0W0.860708, d1W1, d1W0.606531, d1W0.860708, d1W1, d1W0.860708, d1W0.860708, d2W1, d2W0.606531, d2W0.860708, d2W1, d2W0.860708, d2W0.860708, d3W1, d3W0.606531, d3W0.860708, d3W1, d3W0.860708, d3W0.860708, d4W1, d4W0.606531, d4W0.860708, d4W1, d4W0.860708, d4W0.860708, d5W1, d5W0.606531, d5W0.860708, d5W1, d5W0.860708, d5W0.860708, d6W1, d6W0.606531, d6W0.860708, d6W1, d6W0.860708, d6W0.860708, d7W1, d7W0.606531, d7W0.860708, d7W1, d7W0.860708, d7W0.860708, 
100, 1,0.9925,0.9875,0.9075,0.52,0.115,0.005,0,1,0.9925,0.99,0.885,0.5025,0.1425,0.04,0.015,199,0,1,199,1,1,193,0,7,193,7,7,184,0,16,184,16,16,116,6,78,116,78,78,46,14,140,46,140,140,124,2,74,124,74,74,176,1,23,176,23,23,196,0,4,196,4,4,
110, 0.9975,0.9975,0.9575,0.845,0.6125,0.1175,0.0075,0,0.9975,0.9925,0.975,0.8975,0.535,0.1125,0.025,0.0075,198,0,2,198,2,2,198,0,2,198,2,2,175,0,25,175,25,25,120,3,77,120,77,77,46,10,144,46,144,144,129,3,68,129,68,68,193,0,7,193,7,7,198,0,2,198,2,2,
120, 1,1,0.9825,0.86,0.475,0.14,0.01,0,1,0.9825,0.97,0.885,0.4925,0.11,0.03,0.025,200,0,0,200,0,0,192,0,8,192,8,8,189,0,11,189,11,11,136,4,60,136,60,60,43,12,145,43,145,145,125,4,71,125,71,71,182,0,18,182,18,18,190,0,10,190,10,10,
130, 1,1,0.9625,0.86,0.495,0.1875,0.0475,0.0125,1,0.9975,0.9875,0.82,0.4,0.095,0.015,0.0025,200,0,0,200,0,0,198,0,2,198,2,2,173,0,27,173,27,27,128,2,70,128,70,70,55,8,137,55,137,137,113,9,78,113,78,78,162,0,38,162,38,38,195,0,5,195,5,5,
140, 1,0.995,0.96,0.8725,0.485,0.17,0.0475,0.015,1,1,0.965,0.86,0.43,0.1225,0.0125,0.01,200,0,0,200,0,0,196,0,4,196,4,4,187,0,13,187,13,13,124,5,71,124,71,71,38,18,144,38,144,144,114,2,84,114,84,84,177,0,23,177,23,23,192,0,8,192,8,8,
150, 1,0.9975,0.965,0.83,0.495,0.195,0.0725,0.0375,1,0.995,0.975,0.825,0.5175,0.1475,0.0475,0,200,0,0,200,0,0,195,0,5,195,5,5,177,0,23,177,23,23,110,7,83,110,83,83,49,6,145,49,145,145,109,4,87,109,87,87,162,1,37,162,37,37,193,0,7,193,7,7,
160, 1,1,0.97,0.875,0.62,0.18,0.055,0.035,0.9925,0.9975,0.9725,0.8725,0.56,0.11,0.03,0.0175,198,0,2,198,2,2,198,0,2,198,2,2,185,0,15,185,15,15,124,5,71,124,71,71,55,15,130,55,130,130,121,6,73,121,73,73,166,1,33,166,33,33,185,0,15,185,15,15,
170, 1,1,0.99,0.9475,0.6975,0.2775,0.0525,0.0225,1,1,0.9675,0.9275,0.7,0.2125,0.0275,0.0225,200,0,0,200,0,0,200,0,0,200,0,0,183,1,16,183,16,16,150,3,47,150,47,47,58,7,135,58,135,135,78,7,115,78,115,115,174,2,24,174,24,24,183,1,16,183,16,16,
180, 1,1,0.9875,0.9125,0.675,0.2725,0.1025,0.025,1,1,0.9975,0.91,0.6675,0.2575,0.0525,0.025,200,0,0,200,0,0,200,0,0,200,0,0,193,0,7,193,7,7,145,3,52,145,52,52,58,10,132,58,132,132,89,6,105,89,105,105,147,2,51,147,51,51,185,0,15,185,15,15,
190, 1,0.9975,0.9825,0.925,0.705,0.24,0.055,0.0225,1,1,0.98,0.88,0.7175,0.2575,0.0775,0.0375,200,0,0,200,0,0,200,0,0,200,0,0,182,0,18,182,18,18,144,4,52,144,52,52,65,12,123,65,123,123,74,12,114,74,114,114,152,2,46,152,46,46,183,0,17,183,17,17,
