gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0W1, d0W0.367879, d0W0.374494, d0W1, d0W0.374494, d0W0.367879, d1W1, d1W0.367879, d1W0.374494, d1W1, d1W0.374494, d1W0.367879, d2W1, d2W0.367879, d2W0.374494, d2W1, d2W0.374494, d2W0.367879, d3W1, d3W0.367879, d3W0.374494, d3W1, d3W0.374494, d3W0.367879, d4W1, d4W0.367879, d4W0.374494, d4W1, d4W0.374494, d4W0.367879, d5W1, d5W0.367879, d5W0.374494, d5W1, d5W0.374494, d5W0.367879, d6W1, d6W0.367879, d6W0.374494, d6W1, d6W0.374494, d6W0.367879, d7W1, d7W0.367879, d7W0.374494, d7W1, d7W0.374494, d7W0.367879, 
430, 1,1,0.9975,0.87,0.075,0.0075,0,0,1,1,0.9975,0.86,0.0725,0.0125,0.0025,0,200,0,0,200,0,0,200,0,0,200,0,0,199,1,0,199,0,1,162,27,11,162,11,27,179,17,4,179,4,17,193,3,4,193,4,3,200,0,0,200,0,0,200,0,0,200,0,0,
440, 1,1,0.9975,0.8675,0.1,0.0025,0,0,1,1,0.9975,0.88,0.1,0.01,0,0,200,0,0,200,0,0,199,1,0,199,0,1,199,0,1,199,1,0,160,29,11,160,11,29,166,18,16,166,16,18,195,3,2,195,2,3,200,0,0,200,0,0,200,0,0,200,0,0,
450, 1,1,0.995,0.8575,0.0975,0.0075,0,0,1,1,0.9975,0.8325,0.105,0.0025,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,2,1,197,1,2,165,26,9,165,9,26,168,16,16,168,16,16,196,1,3,196,3,1,199,0,1,199,1,0,200,0,0,200,0,0,
460, 1,1,0.9875,0.865,0.11,0,0,0,1,1,0.9925,0.8775,0.11,0,0,0,200,0,0,200,0,0,199,1,0,199,0,1,194,2,4,194,4,2,161,11,28,161,28,11,172,14,14,172,14,14,198,2,0,198,0,2,200,0,0,200,0,0,200,0,0,200,0,0,
470, 1,1,0.9925,0.845,0.1075,0.005,0,0,1,1,0.9875,0.8475,0.105,0.0075,0,0,200,0,0,200,0,0,200,0,0,200,0,0,193,2,5,193,5,2,167,24,9,167,9,24,170,22,8,170,8,22,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
480, 1,1,0.9925,0.8925,0.155,0.0075,0,0,1,1,0.9925,0.88,0.1375,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,0,2,198,2,0,170,15,15,170,15,15,145,36,19,145,19,36,196,0,4,196,4,0,200,0,0,200,0,0,200,0,0,200,0,0,
490, 1,1,0.9975,0.8725,0.11,0.0025,0,0,1,1,0.995,0.865,0.12,0.0025,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,1,0,199,0,1,169,14,17,169,17,14,177,18,5,177,5,18,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,
500, 1,1,0.9975,0.895,0.145,0.0075,0,0,1,1,0.9925,0.8875,0.1325,0.0075,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,1,1,198,1,1,179,10,11,179,11,10,159,21,20,159,20,21,198,1,1,198,1,1,200,0,0,200,0,0,200,0,0,200,0,0,
510, 1,1,0.995,0.8375,0.11,0.01,0,0,1,0.9975,0.9875,0.825,0.1275,0.0075,0,0,200,0,0,200,0,0,200,0,0,200,0,0,195,2,3,195,3,2,152,26,22,152,22,26,160,26,14,160,14,26,198,0,2,198,2,0,200,0,0,200,0,0,200,0,0,200,0,0,
520, 1,1,0.99,0.865,0.1175,0.025,0.0025,0,1,1,0.99,0.88,0.115,0.02,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,171,24,5,171,5,24,153,35,12,153,12,35,192,6,2,192,2,6,200,0,0,200,0,0,200,0,0,200,0,0,
530, 1,1,0.995,0.8725,0.0875,0.0025,0,0,1,1,0.995,0.87,0.075,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,1,1,198,1,1,176,15,9,176,9,15,185,12,3,185,3,12,198,2,0,198,0,2,200,0,0,200,0,0,200,0,0,200,0,0,
540, 1,1,0.995,0.8525,0.135,0.005,0,0,1,1,0.9925,0.8575,0.1225,0.005,0,0,200,0,0,200,0,0,199,0,1,199,1,0,198,0,2,198,2,0,177,13,10,177,10,13,161,27,12,161,12,27,193,3,4,193,4,3,200,0,0,200,0,0,200,0,0,200,0,0,
550, 1,1,0.995,0.8875,0.1125,0.01,0,0,1,1,0.9925,0.8875,0.1325,0.0125,0,0,200,0,0,200,0,0,200,0,0,200,0,0,196,2,2,196,2,2,168,14,18,168,18,14,159,24,17,159,17,24,198,2,0,198,0,2,200,0,0,200,0,0,200,0,0,200,0,0,
