gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0W1, d0W0.449329, d0W0.45578, d0W1, d0W0.45578, d0W0.449329, d1W1, d1W0.449329, d1W0.45578, d1W1, d1W0.45578, d1W0.449329, d2W1, d2W0.449329, d2W0.45578, d2W1, d2W0.45578, d2W0.449329, d3W1, d3W0.449329, d3W0.45578, d3W1, d3W0.45578, d3W0.449329, d4W1, d4W0.449329, d4W0.45578, d4W1, d4W0.45578, d4W0.449329, d5W1, d5W0.449329, d5W0.45578, d5W1, d5W0.45578, d5W0.449329, d6W1, d6W0.449329, d6W0.45578, d6W1, d6W0.45578, d6W0.449329, d7W1, d7W0.449329, d7W0.45578, d7W1, d7W0.45578, d7W0.449329, 
310, 1,1,0.9925,0.8575,0.155,0.005,0,0,1,1,0.99,0.85,0.1675,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,194,2,4,194,4,2,173,13,14,173,14,13,167,16,17,167,17,16,192,5,3,192,3,5,200,0,0,200,0,0,200,0,0,200,0,0,
320, 1,1,0.9925,0.9,0.1375,0.015,0,0,1,1,0.9925,0.935,0.135,0.0075,0,0,200,0,0,200,0,0,200,0,0,200,0,0,194,2,4,194,4,2,149,31,20,149,20,31,146,31,23,146,23,31,191,4,5,191,5,4,200,0,0,200,0,0,200,0,0,200,0,0,
330, 1,1,0.99,0.8475,0.135,0.0075,0.0025,0,1,1,1,0.8525,0.1125,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,195,2,3,195,3,2,159,20,21,159,21,20,158,22,20,158,20,22,198,0,2,198,2,0,199,0,1,199,1,0,200,0,0,200,0,0,
340, 1,1,0.9975,0.86,0.17,0.025,0.0025,0,1,1,0.9975,0.8425,0.18,0.015,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,154,22,24,154,24,22,138,41,21,138,21,41,191,7,2,191,2,7,200,0,0,200,0,0,200,0,0,200,0,0,
350, 1,1,0.9975,0.865,0.1125,0.0075,0,0,1,1,0.9975,0.87,0.1075,0.005,0,0,200,0,0,200,0,0,198,0,2,198,2,0,200,0,0,200,0,0,154,18,28,154,28,18,157,18,25,157,25,18,195,3,2,195,2,3,200,0,0,200,0,0,200,0,0,200,0,0,
360, 1,1,0.9875,0.8775,0.1,0.015,0,0,1,1,0.9925,0.8625,0.1125,0.0075,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,2,1,197,1,2,155,17,28,155,28,17,161,16,23,161,23,16,190,2,8,190,8,2,200,0,0,200,0,0,200,0,0,200,0,0,
370, 1,1,0.9925,0.895,0.1575,0.01,0,0,1,1,0.99,0.9025,0.1775,0.025,0,0,200,0,0,200,0,0,199,0,1,199,1,0,194,1,5,194,5,1,173,9,18,173,18,9,136,31,33,136,33,31,186,2,12,186,12,2,200,0,0,200,0,0,200,0,0,200,0,0,
380, 1,1,0.9875,0.835,0.1575,0.005,0,0,1,1,0.9925,0.825,0.13,0.0075,0,0,200,0,0,200,0,0,200,0,0,200,0,0,196,2,2,196,2,2,150,35,15,150,15,35,152,26,22,152,22,26,199,1,0,199,0,1,200,0,0,200,0,0,200,0,0,200,0,0,
390, 1,1,0.995,0.91,0.1375,0.0025,0,0,1,1,0.995,0.9125,0.1575,0,0,0,200,0,0,200,0,0,199,1,0,199,0,1,196,1,3,196,3,1,167,19,14,167,14,19,160,29,11,160,11,29,198,1,1,198,1,1,200,0,0,200,0,0,200,0,0,200,0,0,
400, 1,1,0.9975,0.885,0.135,0.0025,0,0,1,1,0.9875,0.8875,0.12,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,0,2,198,2,0,176,13,11,176,11,13,153,28,19,153,19,28,197,1,2,197,2,1,200,0,0,200,0,0,200,0,0,200,0,0,
