gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0W1, d0W0.367879, d0W0.990027, d0W1, d0W0.990027, d0W0.367879, d1W1, d1W0.367879, d1W0.990027, d1W1, d1W0.990027, d1W0.367879, d2W1, d2W0.367879, d2W0.990027, d2W1, d2W0.990027, d2W0.367879, d3W1, d3W0.367879, d3W0.990027, d3W1, d3W0.990027, d3W0.367879, d4W1, d4W0.367879, d4W0.990027, d4W1, d4W0.990027, d4W0.367879, d5W1, d5W0.367879, d5W0.990027, d5W1, d5W0.990027, d5W0.367879, d6W1, d6W0.367879, d6W0.990027, d6W1, d6W0.990027, d6W0.367879, d7W1, d7W0.367879, d7W0.990027, d7W1, d7W0.990027, d7W0.367879, 
210, 0.99,0.9725,0.9325,0.785,0.2225,0.0525,0.01,0.0025,0.995,0.9825,0.96,0.795,0.2625,0.0275,0.0175,0.0075,198,0,2,198,2,0,179,1,20,179,20,1,161,3,36,161,36,3,124,23,53,124,53,23,102,30,68,102,68,30,173,8,19,173,19,8,187,0,13,187,13,0,192,0,8,192,8,0,
220, 0.985,0.9775,0.9475,0.7675,0.1475,0.0225,0.0025,0,1,0.9975,0.9875,0.8275,0.22,0.0525,0.01,0.0225,197,0,3,197,3,0,191,1,8,191,8,1,172,1,27,172,27,1,100,33,67,100,67,33,114,24,62,114,62,24,174,4,22,174,22,4,198,0,2,198,2,0,194,0,6,194,6,0,
230, 0.9775,0.98,0.9825,0.8325,0.16,0.0675,0,0,1,0.9925,0.9725,0.8075,0.2075,0.0525,0.055,0.005,192,0,8,192,8,0,191,0,9,191,9,0,178,0,22,178,22,0,130,16,54,130,54,16,113,21,66,113,66,21,161,2,37,161,37,2,178,0,22,178,22,0,196,0,4,196,4,0,
240, 0.9875,0.99,0.965,0.775,0.1475,0.025,0.0175,0,0.99,0.9875,0.965,0.8025,0.1375,0.0775,0.04,0.035,188,0,12,188,12,0,193,0,7,193,7,0,178,3,19,178,19,3,112,28,60,112,60,28,112,28,60,112,60,28,173,3,24,173,24,3,175,1,24,175,24,1,183,0,17,183,17,0,
250, 1,0.99,0.94,0.7575,0.155,0.0425,0.0025,0,1,0.995,0.9575,0.7,0.195,0.0375,0.045,0.07,199,0,1,199,1,0,194,0,6,194,6,0,169,3,28,169,28,3,97,30,73,97,73,30,105,39,56,105,56,39,172,5,23,172,23,5,179,1,20,179,20,1,171,0,29,171,29,0,
260, 0.9875,0.985,0.9725,0.685,0.11,0.015,0.0025,0.005,0.9775,0.9925,0.95,0.735,0.175,0.0925,0.04,0.025,192,0,8,192,8,0,189,0,11,189,11,0,180,0,20,180,20,0,100,32,68,100,68,32,125,17,58,125,58,17,162,6,32,162,32,6,189,0,11,189,11,0,187,0,13,187,13,0,
270, 0.98,1,0.9575,0.73,0.16,0.01,0,0.0025,1,0.9975,0.9825,0.7725,0.1925,0.07,0.105,0.0675,193,0,7,193,7,0,195,0,5,195,5,0,180,3,17,180,17,3,98,20,82,98,82,20,109,31,60,109,60,31,171,0,29,171,29,0,164,6,30,164,30,6,175,1,24,175,24,1,
280, 0.98,0.9725,0.965,0.77,0.1675,0.0375,0.0125,0.005,1,0.9825,0.95,0.8175,0.1975,0.03,0.0325,0.05,194,0,6,194,6,0,191,0,9,191,9,0,170,3,27,170,27,3,102,29,69,102,69,29,113,27,60,113,60,27,171,6,23,171,23,6,182,0,18,182,18,0,177,0,23,177,23,0,
290, 0.9775,0.9525,0.9225,0.855,0.215,0.02,0.0025,0,0.99,0.9825,0.935,0.795,0.1775,0.04,0.03,0.0425,186,0,14,186,14,0,176,2,22,176,22,2,147,9,44,147,44,9,119,29,52,119,52,29,114,18,68,114,68,18,174,3,23,174,23,3,191,0,9,191,9,0,184,0,16,184,16,0,
300, 0.9675,0.955,0.9525,0.7725,0.1725,0.0325,0.015,0.0125,0.9925,0.995,0.9575,0.81,0.185,0.0525,0.015,0.0175,183,0,17,183,17,0,186,0,14,186,14,0,160,3,37,160,37,3,113,22,65,113,65,22,106,37,57,106,57,37,167,2,31,167,31,2,190,0,10,190,10,0,191,0,9,191,9,0,
