gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0W1, d0W0.367879, d0W0.990027, d0W1, d0W0.990027, d0W0.367879, d1W1, d1W0.367879, d1W0.990027, d1W1, d1W0.990027, d1W0.367879, d2W1, d2W0.367879, d2W0.990027, d2W1, d2W0.990027, d2W0.367879, d3W1, d3W0.367879, d3W0.990027, d3W1, d3W0.990027, d3W0.367879, d4W1, d4W0.367879, d4W0.990027, d4W1, d4W0.990027, d4W0.367879, d5W1, d5W0.367879, d5W0.990027, d5W1, d5W0.990027, d5W0.367879, d6W1, d6W0.367879, d6W0.990027, d6W1, d6W0.990027, d6W0.367879, d7W1, d7W0.367879, d7W0.990027, d7W1, d7W0.990027, d7W0.367879, 
140, 1,1,1,0.985,0.0375,0,0,0,1,1,1,0.975,0.0275,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,192,5,3,192,3,5,194,0,6,194,6,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
150, 1,1,1,0.995,0.025,0,0,0,1,1,1,0.995,0.0075,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,0,2,198,2,0,192,1,7,192,7,1,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
160, 1,1,1,0.9675,0.025,0,0,0,1,1,1,0.9675,0.0125,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,190,3,7,190,7,3,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
170, 1,1,1,0.9875,0.02,0.0125,0,0,1,1,1,0.9825,0.015,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,189,1,10,189,10,1,193,5,2,193,2,5,197,0,3,197,3,0,200,0,0,200,0,0,200,0,0,200,0,0,
180, 1,1,0.9975,0.97,0.0125,0.0025,0,0,1,1,1,0.9975,0.0325,0.0025,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,188,2,10,188,10,2,185,4,11,185,11,4,198,0,2,198,2,0,200,0,0,200,0,0,200,0,0,200,0,0,
190, 1,1,1,0.9525,0.02,0.005,0,0,1,1,1,0.995,0.025,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,180,0,20,180,20,0,186,6,8,186,8,6,194,0,6,194,6,0,200,0,0,200,0,0,200,0,0,200,0,0,
200, 1,1,1,0.9625,0.0225,0,0,0,1,1,1,0.9925,0.0075,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,181,6,13,181,13,6,181,1,18,181,18,1,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
210, 1,1,1,0.9775,0.05,0,0,0,1,1,1,0.965,0.0125,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,191,0,9,191,9,0,186,4,10,186,10,4,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
220, 1,1,1,0.95,0.0525,0.0025,0,0,1,1,1,0.9725,0.0075,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,184,5,11,184,11,5,181,2,17,181,17,2,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
230, 1,1,1,0.9825,0.0875,0.0025,0,0,1,1,1,0.98,0.0025,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,190,0,10,190,10,0,168,4,28,168,28,4,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
240, 1,1,1,0.9625,0.045,0.0025,0,0,1,1,1,0.975,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,184,6,10,184,10,6,182,0,18,182,18,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
250, 1,1,1,0.9925,0.1075,0,0,0,1,1,1,0.995,0.0125,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,2,1,197,1,2,164,5,31,164,31,5,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
260, 1,1,1,1,0.1175,0,0,0,1,1,1,1,0.0025,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,2,0,198,0,2,158,7,35,158,35,7,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,
270, 1,1,1,0.975,0.03,0,0,0,1,1,1,0.99,0.01,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,193,3,4,193,4,3,179,8,13,179,13,8,198,0,2,198,2,0,200,0,0,200,0,0,200,0,0,200,0,0,
280, 1,1,1,0.9625,0.0175,0,0,0,1,1,1,0.985,0.0125,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,190,1,9,190,9,1,193,4,3,193,3,4,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
290, 1,1,1,0.985,0.095,0.0075,0,0,1,1,1,0.99,0.025,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,191,2,7,191,7,2,179,2,19,179,19,2,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,
300, 1,1,1,0.9775,0.0375,0.005,0,0,1,1,1,0.98,0.0175,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,192,7,1,192,1,7,188,5,7,188,7,5,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
310, 1,1,1,0.9875,0.0275,0,0,0,1,1,1,0.9675,0.01,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,187,0,13,187,13,0,189,1,10,189,10,1,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
320, 1,1,1,0.995,0.0575,0,0,0,1,1,1,0.995,0.015,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,186,2,12,186,12,2,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
