gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W1, d0W0.449329, d0W0.45578, d0W1, d0W0.45578, d0W0.449329, d1W1, d1W0.449329, d1W0.45578, d1W1, d1W0.45578, d1W0.449329, d2W1, d2W0.449329, d2W0.45578, d2W1, d2W0.45578, d2W0.449329, d3W1, d3W0.449329, d3W0.45578, d3W1, d3W0.45578, d3W0.449329, d4W1, d4W0.449329, d4W0.45578, d4W1, d4W0.45578, d4W0.449329, d5W1, d5W0.449329, d5W0.45578, d5W1, d5W0.45578, d5W0.449329, d6W1, d6W0.449329, d6W0.45578, d6W1, d6W0.45578, d6W0.449329, d7W1, d7W0.449329, d7W0.45578, d7W1, d7W0.45578, d7W0.449329, d8W1, d8W0.449329, d8W0.45578, d8W1, d8W0.45578, d8W0.449329, d9W1, d9W0.449329, d9W0.45578, d9W1, d9W0.45578, d9W0.449329, d10W1, d10W0.449329, d10W0.45578, d10W1, d10W0.45578, d10W0.449329, d11W1, d11W0.449329, d11W0.45578, d11W1, d11W0.45578, d11W0.449329, d12W1, d12W0.449329, d12W0.45578, d12W1, d12W0.45578, d12W0.449329, d13W1, d13W0.449329, d13W0.45578, d13W1, d13W0.45578, d13W0.449329, d14W1, d14W0.449329, d14W0.45578, d14W1, d14W0.45578, d14W0.449329, d15W1, d15W0.449329, d15W0.45578, d15W1, d15W0.45578, d15W0.449329, d16W1, d16W0.449329, d16W0.45578, d16W1, d16W0.45578, d16W0.449329, d17W1, d17W0.449329, d17W0.45578, d17W1, d17W0.45578, d17W0.449329, d18W1, d18W0.449329, d18W0.45578, d18W1, d18W0.45578, d18W0.449329, d19W1, d19W0.449329, d19W0.45578, d19W1, d19W0.45578, d19W0.449329, 
100, 1,1,1,1,1,1,1,1,0.9875,0.84,0.175,0.0025,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.985,0.8275,0.17,0.005,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,3,0,197,0,3,142,38,20,142,20,38,141,29,30,141,30,29,196,1,3,196,3,1,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
110, 1,1,1,1,1,1,1,1,0.9925,0.9175,0.245,0.0075,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.995,0.905,0.2225,0.005,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,196,4,0,196,0,4,166,16,18,166,18,16,121,41,38,121,38,41,196,1,3,196,3,1,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
120, 1,1,1,1,1,1,1,1,0.995,0.89,0.1575,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.995,0.8775,0.1575,0.005,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,1,2,197,2,1,173,16,11,173,11,16,164,29,7,164,7,29,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
130, 1,1,1,1,1,1,1,1,0.995,0.87,0.205,0.0175,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9975,0.9975,0.8725,0.1975,0.02,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,174,19,7,174,7,19,157,31,12,157,12,31,197,2,1,197,1,2,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
140, 1,1,1,1,1,1,1,1,0.9825,0.8375,0.1825,0.0175,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.985,0.83,0.19,0.01,0.0025,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,189,6,5,189,5,6,149,32,19,149,19,32,156,26,18,156,18,26,195,2,3,195,3,2,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
150, 1,1,1,1,1,1,1,1,0.995,0.8375,0.12,0.005,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9975,0.8525,0.1225,0.0025,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,197,1,2,197,2,1,158,31,11,158,11,31,170,20,10,170,10,20,197,2,1,197,1,2,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
160, 1,1,1,1,1,1,1,1,0.985,0.8575,0.0825,0.005,0.0025,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.985,0.825,0.0975,0.0025,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,192,2,6,192,6,2,141,36,23,141,23,36,176,7,17,176,17,7,196,0,4,196,4,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
170, 1,1,1,1,1,1,1,1,0.99,0.8725,0.1025,0.0125,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9925,0.885,0.0975,0.0075,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,193,5,2,193,2,5,166,23,11,166,11,23,166,18,16,166,16,18,194,3,3,194,3,3,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
180, 1,1,1,1,1,1,1,1,1,0.9075,0.14,0.01,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0.9275,0.1025,0.0125,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,196,0,4,196,4,0,167,20,13,167,13,20,159,18,23,159,23,18,194,1,5,194,5,1,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
190, 1,1,1,1,1,1,1,1,0.9925,0.9125,0.1275,0.02,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9925,0.9,0.145,0.02,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,194,3,3,194,3,3,166,12,22,166,22,12,165,18,17,165,17,18,198,2,0,198,0,2,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
