trait	loc	mut_effect	dom
4	171	0.4797	0.5
0	172	0.516982	0.5
1	172	0.33405	0.5
2	172	0.0355639	0.5
3	172	-0.84342	0.5
4	172	1.1436	0.5
0	173	-2.10342	0.5
1	173	-1.59752	0.5
2	173	0.511898	0.5
3	173	-1.1757	0.5
4	173	-0.0778945	0.5
0	174	0.41734	0.5
1	174	0.199006	0.5
2	174	-0.61324	0.5
3	174	0.864359	0.5
4	174	-0.682629	0.5
0	175	-0.24314	0.5
1	175	0.101465	0.5
2	175	0.845529	0.5
3	175	0.742319	0.5
4	175	0.76018	0.5
0	176	-0.0878175	0.5
1	176	0.430617	0.5
2	176	1.62488	0.5
3	176	-2.27547	0.5
4	176	0.102142	0.5
0	177	-0.890907	0.5
1	177	-1.84217	0.5
2	177	0.737943	0.5
3	177	0.711308	0.5
4	177	0.599358	0.5
0	178	-0.364397	0.5
1	178	-1.03805	0.5
2	178	-2.43106	0.5
3	178	-0.96799	0.5
4	178	0.976528	0.5
0	179	-1.25512	0.5
1	179	-2.41533	0.5
2	179	-0.069005	0.5
3	179	1.57165	0.5
4	179	0.235764	0.5
0	180	-0.232596	0.5
1	180	0.48122	0.5
2	180	0.262323	0.5
3	180	0.277856	0.5
4	180	0.584342	0.5
0	181	1.14007	0.5
1	181	-0.760523	0.5
2	181	0.00383941	0.5
3	181	0.782247	0.5
4	181	0.562008	0.5
0	182	0.548248	0.5
1	182	-0.302513	0.5
2	182	0.305747	0.5
3	182	1.50085	0.5
4	182	0.290774	0.5
0	183	-0.539287	0.5
1	183	0.565425	0.5
2	183	2.21019	0.5
3	183	0.38199	0.5
4	183	2.56459	0.5
0	184	0.537823	0.5
1	184	0.396165	0.5
2	184	1.2548	0.5
3	184	-0.868411	0.5
4	184	0.424871	0.5
0	185	-0.605455	0.5
1	185	0.522378	0.5
2	185	0.884836	0.5
3	185	-1.01219	0.5
4	185	-0.822267	0.5
0	186	0.0476792	0.5
1	186	0.612881	0.5
2	186	-0.544755	0.5
3	186	1.04653	0.5
4	186	-0.875854	0.5
0	187	1.19439	0.5
1	187	2.76562	0.5
2	187	-1.96259	0.5
3	187	1.36145	0.5
4	187	0.582818	0.5
0	188	-1.03829	0.5
1	188	-0.568846	0.5
2	188	0.632198	0.5
3	188	-0.115931	0.5
4	188	-1.39864	0.5
0	189	-1.96371	0.5
1	189	0.560228	0.5
2	189	-0.225744	0.5
3	189	0.596579	0.5
4	189	-1.60429	0.5
0	190	-0.488706	0.5
1	190	-1.79224	0.5
2	190	0.394211	0.5
3	190	-0.914704	0.5
4	190	0.0978833	0.5
0	191	-1.43803	0.5
1	191	-0.273874	0.5
2	191	-0.212638	0.5
3	191	-1.14727	0.5
4	191	-1.39504	0.5
0	192	-1.22692	0.5
1	192	-1.57896	0.5
2	192	0.0110941	0.5
3	192	-1.89176	0.5
4	192	0.21958	0.5
0	193	0.873173	0.5
1	193	-0.632283	0.5
2	193	0.0733602	0.5
3	193	0.67969	0.5
4	193	-2.81859	0.5
0	194	1.69428	0.5
1	194	0.354807	0.5
2	194	1.47853	0.5
3	194	0.839922	0.5
4	194	-1.32712	0.5
0	195	0.65615	0.5
1	195	-0.144966	0.5
2	195	-1.24806	0.5
3	195	1.12624	0.5
4	195	1.42778	0.5
0	196	0.0183928	0.5
1	196	-0.158988	0.5
2	196	-0.633235	0.5
3	196	0.665077	0.5
4	196	0.476752	0.5
0	197	-0.0976424	0.5
1	197	0.183975	0.5
2	197	-2.22985	0.5
3	197	-0.72798	0.5
4	197	0.615424	0.5
0	198	-0.145633	0.5
1	198	-1.43234	0.5
2	198	2.22537	0.5
3	198	0.543002	0.5
4	198	-0.316864	0.5
0	199	0.449292	0.5
1	199	-0.709652	0.5
2	199	-0.0227174	0.5
3	199	-1.09447	0.5
4	199	0.36501	0.5
0	200	-1.95282	0.5
1	200	1.00951	0.5
2	200	0.623233	0.5
3	200	-0.127345	0.5
4	200	-0.716641	0.5
0	201	-0.90524	0.5
1	201	-0.26509	0.5
2	201	0.507748	0.5
3	201	-0.920856	0.5
4	201	-0.392598	0.5
0	202	-0.355971	0.5
1	202	-0.745102	0.5
2	202	-0.457037	0.5
3	202	0.558979	0.5
4	202	0.634167	0.5
0	203	1.25104	0.5
1	203	1.037	0.5
2	203	0.787181	0.5
3	203	0.21841	0.5
4	203	-0.0124735	0.5
0	204	0.542846	0.5
1	204	-0.492174	0.5
2	204	2.24885	0.5
3	204	1.61865	0.5
4	204	-0.794217	0.5
0	205	-0.268121	0.5
1	205	-0.191521	0.5
2	205	1.54245	0.5
